manufacturer,description,winter,summer,price
Economy,185/65HR14 BUDGET HR,0,1,47.00
Economy,185/55HR14 BUDGET HR,0,1,48.01
Economy,185/60HR14 BUDGET HR,0,1,49.90
Economy,185/70HR14 BUDGET HR,0,1,51.32
Economy,185/65TR14 BUDGET TR,0,1,52.08
Economy,185/70TR14 BUDGET TR,0,1,53.64
Economy,185R14  BUDGET 8 PLY VAN,0,1,60.58
Hankook,185/60R14 82H HANKO KINERGY 2 K435,0,1,61.93
Dexel,185/60R14 82H DAVANT DX390,0,1,66.30
Dexel,185/65R14 86H DAVANT DX390,0,1,73.24
Dexel,185/55R14 80V DAVANT DX240,0,1,74.56
Dunlop,185/60R14 82H DUNLP BLURESPONSE,0,1,75.51
Goodyear,185/60R14 82H GOODYR EFFIGR PERF,0,1,75.51
Pirelli,185/60R14 82H PIREL CINTUR P1 VERDE,0,1,76.99
Vredestein,185/60R14 82H VSTEIN QUATRAC5,1,1,78.36
Michelin,185/60R14 82H MICH ENGY SAVER+,0,1,79.20
Uniroyal,185R14C 102/100Q UROYAL RAINMAX 3,0,1,80.12
Vredestein,185/60R14 82H VSTEIN SPORTRAC5,0,1,80.35
Michelin,185/60R14 86H MICH XCLIMATE XL,1,1,80.92
Hankook,185/55R14 80H HANKO KINERGY 2 K435,0,1,80.94
Continental,185/60R14 82H CONTI ECOCONTACT 6,0,1,81.25
Dexel,185/70R14 88H DAVANT DX240,0,1,82.10
Vredestein,185/60R14 82T VSTEIN QUATRAC5,1,1,83.06
Hankook,185R14C 102/100R HANKO RA18 VAN,0,1,83.91
Uniroyal,185/70R14 88H UROYAL RAINEXPERT,0,1,84.44
Uniroyal,185/55R14 80H UROYAL RAINSPORT 3,0,1,85.24
Michelin,185/65R14 86T MICH ENGY SAVER+,0,1,85.80
Vredestein,185/65R14 86T VSTEIN QUATRAC5,1,1,86.29
Continental,185/65R14 86T CONTI ECOCONTACT 6,0,1,86.53
 ,185/75R14 BUDGET 102/100C8,0,1,89.31
Vredestein,185/65R14 86H VSTEIN SPORTRAC5,0,1,89.41
Dunlop,185/65R14 86H DUNLP BLURESPONSE,0,1,90.19
Vredestein,185/70R14 88T VSTEIN QUATRAC5,1,1,90.52
Dexel,185R14C 102/100R DAVANT DX440,0,1,90.87
Michelin,185/65R14 86H MICH ENGY SAVER+,0,1,91.46
Continental,185/65R14 86H CONTI ECOCONTACT 6,0,1,92.70
Goodyear,185/70R14 88T GOODYR EFFIGR CMP,0,1,95.70
Vredestein,185/55R14 80T VSTEIN QUATRAC5,1,1,97.42
,185/65R14 86T CONTI WINTER TS 870,1,0,98.61
Michelin,185/70R14 88T MICH ENGY SAVER+,0,1,99.33
Michelin,185/70R14 88H MICH ENGY SAVER+,0,1,100.71
Goodyear,185/55R14 80H GOODYR EFFIGR PERF,0,1,101.19
Dunlop,185/55R14 80H DUNLP BLURESPONSE,0,1,101.19
Yokohama,185/50R14 77V YOKO A539,0,1,101.32
Continental,185/70R14 88T CONTI ECOCONTACT 5,0,1,101.40
Continental,185/55R14 80H CONTI ECOCONTACT 6,0,1,102.64
Continental,185/70R14 88H CONTI PREMIUM 5,0,1,103.69
,185R14C 102/100R GOODYR EFF CARGO 2,0,1,107.18
,185/70R14 88T CONTI WINTER TS 870,1,0,111.07
